ID,NL,MR,ALIGNMENT,MONOTONIC
10,dammi le città in virginia,answer(city(loc_2(stateid(virginia)))),"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)')",1
11,dammi le città che sono in texas,answer(city(loc_2(stateid(texas)))),"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('che', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
12,dammi i laghi in california,answer(lake(loc_2(stateid(california)))),"('dammi', 'answer'), ('i', 'ε'), ('laghi', 'lake'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
13,dammi lo stato più grande,answer(largest(state(all))),"('dammi', 'answer'), ('lo', 'ε'), ('stato', 'state(all)'), ('più', 'ε'), ('grande', 'largest')",0
14,dammi il fiume più lungo che passa attraverso gli usa,answer(longest(river(traverse_2(countryid(usa))))),"('dammi', 'answer'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('lungo', 'longest'), ('che', 'ε'), ('passa', 'ε'), ('attraverso', 'traverse_2'), ('gli', 'ε'), ('usa', 'countryid(usa)')",0
15,dammi il numero di fiumi in california,answer(count(river(loc_2(stateid(california))))),"('dammi', 'answer'), ('il', 'ε'), ('numero', 'count'), ('di', 'ε'), ('fiumi', 'river'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
16,dammi gli stati che confinano con lo utah,answer(state(next_to_2(stateid(utah)))),"('dammi', 'answer'), ('gli', 'ε'), ('stati', 'state'), ('che', 'ε'), ('confinano', 'next_to_2'), ('con', 'ε'), ('lo', 'ε'), ('utah', 'stateid(utah)')",1
17,quanto è grande l alaska,answer(size(stateid(alaska))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('l', 'ε'), ('alaska', 'stateid(alaska)')",1
18,quanto è grande il massachusetts,answer(size(stateid(massachusetts))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('massachusetts', 'stateid(massachusetts)')",1
19,quanto è grande il new mexico,answer(size(stateid(new mexico))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
20,quanto è grande il north dakota,answer(size(stateid(north dakota))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('north', 'stateid(north dakota)'), ('dakota', 'ε')",1
21,quanto è grande il texas,answer(size(stateid(texas))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('texas', 'stateid(texas)')",1
22,quanto è grande la città di new york,"answer(size(city(cityid(new york, _))))","('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('la', 'ε'), ('città', 'city'), ('di', 'ε'), ('new', 'cityid(new york, _)'), ('york', 'ε')",1
23,quanto sono alti i picchi più alti di tutti gli stati,answer(elevation_1(highest(place(loc_2(state(all)))))),"('quanto', 'answer'), ('sono', 'ε'), ('alti', 'elevation_1'), ('i', 'ε'), ('picchi', 'place'), ('più', 'ε'), ('alti', 'highest'), ('di', 'loc_2'), ('tutti', 'ε'), ('gli', 'ε'), ('stati', 'state(all)')",0
24,quanto è alto il guadalupe peak,answer(elevation_1(placeid(guadalupe peak))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('guadalupe', 'placeid(guadalupe peak)'), ('peak', 'ε')",1
25,quanto è alto il mount mckinley,answer(elevation_1(placeid(mount mckinley))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('mount', 'placeid(mount mckinley)'), ('mckinley', 'ε')",1
26,quanto è alto il picco più alto in america,answer(elevation_1(highest(place(loc_2(countryid(usa)))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('in', 'loc_2'), ('america', 'countryid(usa)')",0
27,quanto è alto il picco più alto in montana,answer(elevation_1(highest(place(loc_2(stateid(montana)))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",0
28,quanto è alto il picco più alto nello stato più grande,answer(elevation_1(highest(place(loc_2(largest(state(all))))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('nello', 'loc_2'), ('stato', 'state(all)'), ('più', 'ε'), ('grande', 'largest')",0
29,quanto è alto il picco più alto dell alabama,answer(elevation_1(highest(place(loc_2(stateid(alabama)))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('dell', 'loc_2'), ('alabama', 'stateid(alabama)')",0
30,quanto è alto il picco più alto del delaware,answer(elevation_1(highest(place(loc_2(stateid(delaware)))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('del', 'loc_2'), ('delaware', 'stateid(delaware)')",0
31,quanto è alto il picco più alto della florida,answer(elevation_1(highest(place(loc_2(stateid(florida)))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('della', 'loc_2'), ('florida', 'stateid(florida)')",0
32,quanto è alto il picco più alto della louisiana,answer(elevation_1(highest(place(loc_2(stateid(louisiana)))))),"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('della', 'loc_2'), ('louisiana', 'stateid(louisiana)')",0
33,quanto è grande l alaska,answer(size(stateid(alaska))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('l', 'ε'), ('alaska', 'stateid(alaska)')",1
34,quanto è grande il texas,answer(size(stateid(texas))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('texas', 'stateid(texas)')",1
35,quanto è grande la città più grande in alaska,answer(size(largest(city(loc_2(stateid(alaska)))))),"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('la', 'ε'), ('città', 'city'), ('più', 'ε'), ('grande', 'largest'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",0
36,quanto è lungo il rio grande,answer(len(riverid(rio grande))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('rio', 'riverid(rio grande)'), ('grande', 'ε')",1
37,quanto è lungo il fiume colorado,answer(len(riverid(colorado))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('colorado', 'riverid(colorado)')",1
38,quanto è lungo il fiume delaware,answer(len(riverid(delaware))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('delaware', 'riverid(delaware)')",1
39,quanto è lungo il fiume più lungo in california,answer(len(longest(river(loc_2(stateid(california)))))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('lungo', 'longest'), ('in', 'loc_2'), ('california', 'stateid(california)')",0
40,quanto è lungo il fiume più lungo in usa,answer(len(longest(river(loc_2(countryid(usa)))))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('lungo', 'longest'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",0
41,quanto è lungo il fiume mississippi,answer(len(riverid(mississippi))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('mississippi', 'riverid(mississippi)')",1
42,quanto è lungo il mississippi,answer(len(riverid(mississippi))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('mississippi', 'riverid(mississippi)')",1
43,quanto è lungo il fiume mississippi in miglia,answer(len(riverid(mississippi))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('mississippi', 'riverid(mississippi)'), ('in', 'ε'), ('miglia', 'ε')",1
44,quanto è lungo il fiume missouri,answer(len(riverid(missouri))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('missouri', 'riverid(missouri)')",1
45,quanto è lungo il fiume north platte,answer(len(riverid(north platte))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('north', 'riverid(north platte)'), ('platte', 'ε')",1
46,quanto è lungo il fiume ohio,answer(len(riverid(ohio))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('ohio', 'riverid(ohio)')",1
47,quanto è lungo il fiume rio grande,answer(len(riverid(rio grande))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('rio', 'riverid(rio grande)'), ('grande', 'ε')",1
48,quanto è lungo il fiume più corto in usa,answer(len(shortest(river(loc_2(countryid(usa)))))),"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('corto', 'shortest'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",0
49,quante grandi città ci sono in pennsylvania,answer(count(major(city(loc_2(stateid(pennsylvania)))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('pennsylvania', 'stateid(pennsylvania)')",1
50,quante capitali ha rhode island,answer(count(capital(loc_2(stateid(rhode island))))),"('quante', 'answer'), ('ε', 'count'), ('capitali', 'capital'), ('ha', 'loc_2'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
51,quante città ci sono in louisiana,answer(count(city(loc_2(stateid(louisiana))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('louisiana', 'stateid(louisiana)')",1
52,quante città ci sono in montana,answer(count(city(loc_2(stateid(montana))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
53,quante città ci sono in usa,answer(count(city(loc_2(countryid(usa))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
54,quante città ci sono negli usa,answer(count(city(loc_2(countryid(usa))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('negli', 'loc_2'), ('usa', 'countryid(usa)')",1
55,quante città ci sono in usa,answer(count(city(loc_2(countryid(usa))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
56,quante città ci sono in usa,answer(count(city(loc_2(countryid(usa))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
57,quante città ha il texas,answer(count(city(loc_2(stateid(texas))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ha', 'ε'), ('il', 'loc_2'), ('texas', 'stateid(texas)')",1
58,quante città hanno gli usa,answer(count(city(loc_2(countryid(usa))))),"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('hanno', 'ε'), ('gli', 'loc_2'), ('usa', 'countryid(usa)')",1
59,quante città chiamate austin ci sono negli usa,"answer(count(intersection(city(cityid(austin, _)), loc_2(countryid(usa)))))","('quante', 'answer'), ('ε', 'count'), ('ε', 'intersection'), ('città', 'city'), ('chiamate', 'ε'), ('austin', 'cityid(austin, _)'), ('ci', 'ε'), ('sono', 'ε'), ('negli', 'loc_2'), ('usa', 'countryid(usa)')",1
60,quanti cittadini ha la città più grande in usa,answer(population_1(largest(city(all)))),"('quanti', 'answer'), ('cittadini', 'population_1'), ('ha', 'ε'), ('la', 'ε'), ('città', 'city(all)'), ('più', 'ε'), ('grande', 'largest'), ('in', 'ε'), ('usa', 'ε')",0
61,quanti cittadini in alabama,answer(population_1(stateid(alabama))),"('quanti', 'answer'), ('cittadini', 'population_1'), ('in', 'ε'), ('alabama', 'stateid(alabama)')",1
62,quanti cittadini in boulder,"answer(population_1(cityid(boulder, _)))","('quanti', 'answer'), ('cittadini', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
63,quanti cittadini abitano in california,answer(population_1(stateid(california))),"('quanti', 'answer'), ('cittadini', 'population_1'), ('abitano', 'ε'), ('in', 'ε'), ('california', 'stateid(california)')",1
64,quanti fiumi chiamati colorado ci sono,answer(count(river(riverid(colorado)))),"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'river'), ('chiamati', 'ε'), ('colorado', 'riverid(colorado)'), ('ci', 'ε'), ('sono', 'ε')",1
65,quanti abitanti ha montgomery,"answer(population_1(cityid(montgomery, _)))","('quanti', 'answer'), ('abitanti', 'population_1'), ('ha', 'ε'), ('montgomery', 'cityid(montgomery, _)')",1
66,quante grandi città ci sono in arizona,answer(count(major(city(loc_2(stateid(arizona)))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('arizona', 'stateid(arizona)')",1
67,quante grandi città ci sono in florida,answer(count(major(city(loc_2(stateid(florida)))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('florida', 'stateid(florida)')",1
68,quante grandi città ci sono in stati confinanti con il nebraska,answer(count(major(city(loc_2(state(next_to_2(stateid(nebraska)))))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('stati', 'state'), ('confinanti', 'next_to_2'), ('con', 'ε'), ('il', 'ε'), ('nebraska', 'stateid(nebraska)')",1
69,quante grandi città ci sono in stati confinanti con lo utah,answer(count(major(city(loc_2(state(next_to_2(stateid(utah)))))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('stati', 'state'), ('confinanti', 'next_to_2'), ('con', 'ε'), ('lo', 'ε'), ('utah', 'stateid(utah)')",1
70,quante grandi città in texas,answer(count(major(city(loc_2(stateid(texas)))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
71,quante grandi città ci sono,answer(count(major(city(all)))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city(all)'), ('ci', 'ε'), ('sono', 'ε')",1
72,quante grandi città ci sono in oregon,answer(count(major(city(loc_2(stateid(oregon)))))),"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('oregon', 'stateid(oregon)')",1
73,quanti grandi fiumi attraversano l ohio,answer(count(major(river(traverse_2(stateid(ohio)))))),"('quanti', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('fiumi', 'river'), ('attraversano', 'traverse_2'), ('l', 'ε'), ('ohio', 'stateid(ohio)')",1
74,quante persone ci sono nello stato del nevada,answer(population_1(stateid(nevada))),"('quante', 'answer'), ('persone', 'population_1'), ('ci', 'ε'), ('sono', 'ε'), ('nello', 'ε'), ('stato', 'ε'), ('del', 'ε'), ('nevada', 'stateid(nevada)')",1
75,quante persone ci sono in iowa,answer(population_1(stateid(iowa))),"('quante', 'answer'), ('persone', 'population_1'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'ε'), ('iowa', 'stateid(iowa)')",1
76,quante persone ci sono in new york,answer(population_1(stateid(new york))),"('quante', 'answer'), ('persone', 'population_1'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",1
77,quante persone in boulder,"answer(population_1(cityid(boulder, _)))","('quante', 'answer'), ('persone', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
78,quante persone in austin,"answer(population_1(cityid(austin, _)))","('quante', 'answer'), ('persone', 'population_1'), ('in', 'ε'), ('austin', 'cityid(austin, _)')",1
79,quante persone vivono a austin texas,"answer(population_1(cityid(austin, tx)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('austin', 'cityid(austin, tx)'), ('texas', 'ε')",1
80,quante persone vivono in california,answer(population_1(stateid(california))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('california', 'stateid(california)')",1
81,quante persone vivono a chicago,"answer(population_1(cityid(chicago, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('chicago', 'cityid(chicago, _)')",1
82,quante persone vivono a detroit,"answer(population_1(cityid(detroit, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('detroit', 'cityid(detroit, _)')",1
83,quante persone vivono nelle hawaii,answer(population_1(stateid(hawaii))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nelle', 'ε'), ('hawaii', 'stateid(hawaii)')",1
84,quante persone vivono a houston,"answer(population_1(cityid(houston, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('houston', 'cityid(houston, _)')",1
85,quante persone vivono a kalamazoo,"answer(population_1(cityid(kalamazoo, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('kalamazoo', 'cityid(kalamazoo, _)')",1
86,quante persone vivono in kansas,answer(population_1(stateid(kansas))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('kansas', 'stateid(kansas)')",1
87,quante persone vivono a minneapolis minnesota,"answer(population_1(cityid(minneapolis, mn)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('minneapolis', 'cityid(minneapolis, mn)'), ('minnesota', 'ε')",1
88,quanti vivono in mississippi,answer(population_1(stateid(mississippi))),"('quanti', 'answer'), ('vivono', 'population_1'), ('in', 'ε'), ('mississippi', 'stateid(mississippi)')",1
89,quante persone vivono in montana,answer(population_1(stateid(montana))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('montana', 'stateid(montana)')",1
90,quante persone vivono in new hampshire,answer(population_1(stateid(new hampshire))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('new', 'stateid(new hampshire)'), ('hampshire', 'ε')",1
91,quante persone vivono in new mexico,answer(population_1(stateid(new mexico))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
92,quante persone vivono in new york,answer(population_1(stateid(new york))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",1
93,quante persone vivono in rhode island,answer(population_1(stateid(rhode island))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
94,quante persone vivono a riverside,"answer(population_1(cityid(riverside, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('riverside', 'cityid(riverside, _)')",1
95,quante persone vivono a san francisco,"answer(population_1(cityid(san francisco, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('san', 'cityid(san francisco, _)'), ('francisco', 'ε')",1
96,quante persone vivono in south dakota,answer(population_1(stateid(south dakota))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('south', 'stateid(south dakota)'), ('dakota', 'ε')",1
97,quante persone vivono a spokane washington,"answer(population_1(cityid(spokane, wa)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('spokane', 'cityid(spokane, wa)'), ('washington', 'ε')",1
98,quante persone vivono in texas,answer(population_1(stateid(texas))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('texas', 'stateid(texas)')",1
99,quante persone vivono nella città più grande nello stato di new york,answer(population_1(largest(city(loc_2(stateid(new york)))))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nella', 'ε'), ('città', 'city'), ('più', 'ε'), ('grande', 'largest'), ('nello', 'loc_2'), ('stato', 'ε'), ('di', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",0
100,quante persone vivono nella capitale della georgia,answer(population_1(capital(loc_2(stateid(georgia))))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nella', 'ε'), ('capitale', 'capital'), ('della', 'loc_2'), ('georgia', 'stateid(georgia)')",1
101,quante persone vivono nella capitale del texas,answer(population_1(capital(loc_2(stateid(texas))))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nella', 'ε'), ('capitale', 'capital'), ('del', 'loc_2'), ('texas', 'stateid(texas)')",1
102,quante persone vivono nello stato più piccolo che confina con il wyoming,answer(population_1(smallest(state(next_to_2(stateid(wyoming)))))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nello', 'ε'), ('stato', 'state'), ('più', 'ε'), ('piccolo', 'smallest'), ('che', 'ε'), ('confina', 'next_to_2'), ('con', 'ε'), ('il', 'ε'), ('wyoming', 'stateid(wyoming)')",0
103,quante persone vivono nello stato con la più alta densità di popolazione,answer(population_1(largest_one(density_1(state(all))))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nello', 'ε'), ('stato', 'state(all)'), ('con', 'ε'), ('la', 'ε'), ('più', 'ε'), ('alta', 'largest_one'), ('densità', 'density_1'), ('di', 'ε'), ('popolazione', 'ε')",0
104,quante persone vivono negli usa,answer(population_1(countryid(usa))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('negli', 'ε'), ('usa', 'countryid(usa)')",1
105,quante persone vivono in washington,answer(population_1(stateid(washington))),"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('washington', 'stateid(washington)')",1
106,quante persone vivono a washington dc,"answer(population_1(cityid(washington, dc)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('washington', 'cityid(washington, dc)'), ('dc', 'ε')",1
107,quante persone vivono a austin,"answer(population_1(cityid(austin, _)))","('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('austin', 'cityid(austin, _)')",1
108,quante persone risiedono in utah,answer(population_1(stateid(utah))),"('quante', 'answer'), ('persone', 'population_1'), ('risiedono', 'ε'), ('in', 'ε'), ('utah', 'stateid(utah)')",1
109,quante persone stanno in utah,answer(population_1(stateid(utah))),"('quante', 'answer'), ('persone', 'population_1'), ('stanno', 'ε'), ('in', 'ε'), ('utah', 'stateid(utah)')",1
110,quanti residenti vivono in texas,answer(population_1(stateid(texas))),"('quanti', 'answer'), ('residenti', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('texas', 'stateid(texas)')",1
111,quanti fiumi sono chiamati colorado,answer(count(riverid(colorado))),"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'ε'), ('sono', 'ε'), ('chiamati', 'ε'), ('colorado', 'riverid(colorado)')",1
112,quanti fiumi si trovano in colorado,answer(count(river(loc_2(stateid(colorado))))),"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'river'), ('si', 'ε'), ('trovano', 'ε'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
113,quanti fiumi sono in colorado,answer(count(river(loc_2(stateid(colorado))))),"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'river'), ('sono', 'ε'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
114,quanti fiumi sono in iowa,answer(count(river(loc_2(stateid(iowa))))),"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'river'), ('sono', 'ε'), ('in', 'loc_2'), ('iowa', 'stateid(iowa)')",1
