ID,NL,MR,ALIGNMENT,MONOTONIC
35,wie gross ist die groesste stadt in alaska,answer(size(largest(city(loc_2(stateid(alaska)))))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('die', 'ε'), ('groesste', 'largest'), ('stadt', 'city'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",1
36,wie lange ist rio grande,answer(len(riverid(rio grande))),"('wie', 'answer'), ('lange', 'len'), ('ist', 'ε'), ('rio', 'riverid(rio grande)'), ('grande', 'ε')",1
37,wie lang ist der colorado fluss,answer(len(riverid(colorado))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('colorado', 'riverid(colorado)'), ('fluss', 'ε')",1
38,wie lang ist der delaware fluss,answer(len(riverid(delaware))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('delaware', 'riverid(delaware)'), ('fluss', 'ε')",1
39,wie lang ist der laengste fluss californias,answer(len(longest(river(loc_2(stateid(california)))))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('laengste', 'longest'), ('fluss', 'river'), ('ε', 'loc_2'), ('californias', 'stateid(california)')",1
40,wie lange ist der laengste fluss der usa,answer(len(longest(river(loc_2(countryid(usa)))))),"('wie', 'answer'), ('lange', 'len'), ('ist', 'ε'), ('der', 'ε'), ('laengste', 'longest'), ('fluss', 'river'), ('der', 'loc_2'), ('usa', 'countryid(usa)')",1
41,wie lang ist der mississippi fluss,answer(len(riverid(mississippi))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε')",1
42,wie lange is der mississippi,answer(len(riverid(mississippi))),"('wie', 'answer'), ('lange', 'len'), ('is', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)')",1
43,wie lange in meilen ist der mississippi fluss,answer(len(riverid(mississippi))),"('wie', 'answer'), ('lange', 'len'), ('in', 'ε'), ('meilen', 'ε'), ('ist', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε')",1
44,wie lang ist der fluss missouri,answer(len(riverid(missouri))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('fluss', 'ε'), ('missouri', 'riverid(missouri)')",1
45,wie lange ist der north platte fluss,answer(len(riverid(north platte))),"('wie', 'answer'), ('lange', 'len'), ('ist', 'ε'), ('der', 'ε'), ('north', 'riverid(north platte)'), ('platte', 'ε'), ('fluss', 'ε')",1
46,wie lang ist der fluss ohio,answer(len(riverid(ohio))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('fluss', 'ε'), ('ohio', 'riverid(ohio)')",1
47,wie lang ist der rio grande fluss,answer(len(riverid(rio grande))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('rio', 'riverid(rio grande)'), ('grande', 'ε'), ('fluss', 'ε')",1
48,wie lang ist der kuerzeste fluss in den usa,answer(len(shortest(river(loc_2(countryid(usa)))))),"('wie', 'answer'), ('lang', 'len'), ('ist', 'ε'), ('der', 'ε'), ('kuerzeste', 'shortest'), ('fluss', 'river'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
49,wie viele grosse staedte gibt es in pennsylvania,answer(count(major(city(loc_2(stateid(pennsylvania)))))),"('wie', 'answer'), ('viele', 'count'), ('grosse', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('pennsylvania', 'stateid(pennsylvania)')",1
50,wie viele grosse staedte gibt es in rhode island,answer(count(capital(loc_2(stateid(rhode island))))),"('wie', 'answer'), ('viele', 'count'), ('grosse', 'capital'), ('staedte', 'ε'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
51,wie viele staedte sind in louisiana,answer(count(city(loc_2(stateid(louisiana))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('sind', 'ε'), ('in', 'loc_2'), ('louisiana', 'stateid(louisiana)')",1
52,wie viele staede sind in montana,answer(count(city(loc_2(stateid(montana))))),"('wie', 'answer'), ('viele', 'count'), ('staede', 'city'), ('sind', 'ε'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
53,wie viele staedte gibt es in den usa,answer(count(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
54,wie viele staedte hat die usa,answer(count(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('hat', 'loc_2'), ('die', 'ε'), ('usa', 'countryid(usa)')",1
55,wie viele staedte gibt es in den usa,answer(count(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
56,wie viele staedte gibt es in den usa,answer(count(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
57,wie viele staedte hat texas,answer(count(city(loc_2(stateid(texas))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('hat', 'loc_2'), ('texas', 'stateid(texas)')",1
58,wie viele staedte gibt es in den usa,answer(count(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('viele', 'count'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
59,wie viele staedte mit dem namen austin gibt es in den usa,"answer(count(intersection(city(cityid(austin, _)), loc_2(countryid(usa)))))","('wie', 'answer'), ('viele', 'count'), ('ε', 'intersection'), ('staedte', 'city'), ('mit', 'ε'), ('dem', 'ε'), ('namen', 'ε'), ('austin', 'cityid(austin, _)loc_2'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'ε'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
60,wie viele einwohner hat die groesste stadt in den usa,answer(population_1(largest(city(all)))),"('wie', 'answer'), ('viele', 'ε'), ('einwohner', 'population_1'), ('hat', 'ε'), ('die', 'ε'), ('groesste', 'largest'), ('stadt', 'city(all)'), ('in', 'ε'), ('den', 'ε'), ('usa', 'ε')",1
61,wie viele bewohner hat alabama,answer(population_1(stateid(alabama))),"('wie', 'answer'), ('viele', 'ε'), ('bewohner', 'population_1'), ('hat', 'ε'), ('alabama', 'stateid(alabama)')",1
62,anzahl leute in boulder,"answer(population_1(cityid(boulder, _)))","('anzahl', 'answer'), ('leute', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
63,wie viele staatsbuerger wohnen in california,answer(population_1(stateid(california))),"('wie', 'answer'), ('viele', 'ε'), ('staatsbuerger', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('california', 'stateid(california)')",1
64,wie viele fluesse mit dem namen colorado gibt es,answer(count(river(riverid(colorado)))),"('wie', 'answer'), ('viele', 'count'), ('fluesse', 'river'), ('mit', 'ε'), ('dem', 'ε'), ('namen', 'ε'), ('colorado', 'riverid(colorado)'), ('gibt', 'ε'), ('es', 'ε')",1
65,wie viele einwohner hat montgomery,"answer(population_1(cityid(montgomery, _)))","('wie', 'answer'), ('viele', 'ε'), ('einwohner', 'population_1'), ('hat', 'ε'), ('montgomery', 'cityid(montgomery, _)')",1
66,wie viele grosse staedte gibt es in arizona,answer(count(major(city(loc_2(stateid(arizona)))))),"('wie', 'answer'), ('viele', 'count'), ('grosse', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('arizona', 'stateid(arizona)')",1
67,wie viele wichtige staedte gibt es in florida,answer(count(major(city(loc_2(stateid(florida)))))),"('wie', 'answer'), ('viele', 'count'), ('wichtige', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('florida', 'stateid(florida)')",1
68,wie viele wichtige staedte gibt es in den staaten welche an nebraska grenzen,answer(count(major(city(loc_2(state(next_to_2(stateid(nebraska)))))))),"('wie', 'answer'), ('viele', 'count'), ('wichtige', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('den', 'ε'), ('staaten', 'state'), ('welche', 'ε'), ('an', 'next_to_2'), ('nebraska', 'stateid(nebraska)'), ('grenzen', 'ε')",1
69,wie viele groessere staedte sind in staaten die an utah angrenzen,answer(count(major(city(loc_2(state(next_to_2(stateid(utah)))))))),"('wie', 'answer'), ('viele', 'count'), ('groessere', 'major'), ('staedte', 'city'), ('sind', 'ε'), ('in', 'loc_2'), ('staaten', 'state'), ('die', 'ε'), ('an', 'next_to_2'), ('utah', 'stateid(utah)'), ('angrenzen', 'ε')",1
70,wie viele wichtige staedte gibt es in texas,answer(count(major(city(loc_2(stateid(texas)))))),"('wie', 'answer'), ('viele', 'count'), ('wichtige', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
71,wie viele groessere staedte gibt es,answer(count(major(city(all)))),"('wie', 'answer'), ('viele', 'count'), ('groessere', 'major'), ('staedte', 'city(all)'), ('gibt', 'ε'), ('es', 'ε')",1
72,wie viele wichtige staedte gibt es in oregon,answer(count(major(city(loc_2(stateid(oregon)))))),"('wie', 'answer'), ('viele', 'count'), ('wichtige', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('oregon', 'stateid(oregon)')",1
73,wie viele groessere fluesse durchqueren ohio,answer(count(major(river(traverse_2(stateid(ohio)))))),"('wie', 'answer'), ('viele', 'count'), ('groessere', 'major'), ('fluesse', 'river'), ('durchqueren', 'traverse_2'), ('ohio', 'stateid(ohio)')",1
74,wie viele einwohner hat nevada,answer(population_1(stateid(nevada))),"('wie', 'answer'), ('viele', 'ε'), ('einwohner', 'population_1'), ('hat', 'ε'), ('nevada', 'stateid(nevada)')",1
75,wie viele leute gibt es in iowa,answer(population_1(stateid(iowa))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'ε'), ('iowa', 'stateid(iowa)')",1
76,wie viele leute gibt es in new york,answer(population_1(stateid(new york))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",1
77,anzahl staatsbuerger in boulder,"answer(population_1(cityid(boulder, _)))","('anzahl', 'answer'), ('staatsbuerger', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
78,wie viele menschen leben in austin,"answer(population_1(cityid(austin, _)))","('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('austin', 'cityid(austin, _)')",1
79,wie viele leute leben in austin texas,"answer(population_1(cityid(austin, tx)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('austin', 'cityid(austin, tx)'), ('texas', 'ε')",1
80,wie viele einwohner hat california,answer(population_1(stateid(california))),"('wie', 'answer'), ('viele', 'ε'), ('einwohner', 'population_1'), ('hat', 'ε'), ('california', 'stateid(california)')",1
81,wie viele leute wohnen in chicago,"answer(population_1(cityid(chicago, _)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('chicago', 'cityid(chicago, _)')",1
82,wie viele menschen leben in detroit,"answer(population_1(cityid(detroit, _)))","('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('detroit', 'cityid(detroit, _)')",1
83,wie hoch ist die bevoelkerung von hawaii,answer(population_1(stateid(hawaii))),"('wie', 'answer'), ('hoch', 'ε'), ('ist', 'ε'), ('die', 'ε'), ('bevoelkerung', 'population_1'), ('von', 'ε'), ('hawaii', 'stateid(hawaii)')",1
84,wie viele menschen leben in houston,"answer(population_1(cityid(houston, _)))","('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('houston', 'cityid(houston, _)')",1
85,wie viele menschen leben in kalamazoo,"answer(population_1(cityid(kalamazoo, _)))","('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('kalamazoo', 'cityid(kalamazoo, _)')",1
86,wie viele leute wohnen in kansas,answer(population_1(stateid(kansas))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('kansas', 'stateid(kansas)')",1
87,wie viele leute leben in minneapolis minnesota,"answer(population_1(cityid(minneapolis, mn)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('minneapolis', 'cityid(minneapolis, mn)'), ('minnesota', 'ε')",1
88,wie viele leute leben in mississippi,answer(population_1(stateid(mississippi))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('mississippi', 'stateid(mississippi)')",1
89,wie viele leute wohnen in montana,answer(population_1(stateid(montana))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('montana', 'stateid(montana)')",1
90,wie viele leute wohnen in new hampshire,answer(population_1(stateid(new hampshire))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('new', 'stateid(new hampshire)'), ('hampshire', 'ε')",1
91,welches ist die einwohnerzahl von new mexico,answer(population_1(stateid(new mexico))),"('welches', 'answer'), ('ist', 'ε'), ('die', 'ε'), ('einwohnerzahl', 'population_1'), ('von', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
92,wie viele einwohner hat new york,answer(population_1(stateid(new york))),"('wie', 'answer'), ('viele', 'ε'), ('einwohner', 'population_1'), ('hat', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",1
93,wie viele leute leben in rhode island,answer(population_1(stateid(rhode island))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
94,wie viele leute wohnen in riverside,"answer(population_1(cityid(riverside, _)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('riverside', 'cityid(riverside, _)')",1
95,wie viele leute wohnen in san francisco,"answer(population_1(cityid(san francisco, _)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('san', 'cityid(san francisco, _)'), ('francisco', 'ε')",1
96,wie viele leute wohnen in sud dakota,answer(population_1(stateid(south dakota))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('sud', 'ε'), ('dakota', 'stateid(south dakota)')",1
97,wie viele leute wohnen in spokane washington,"answer(population_1(cityid(spokane, wa)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('spokane', 'cityid(spokane, wa)'), ('washington', 'ε')",1
98,wie gross ist die bevoelkerung von texas,answer(population_1(stateid(texas))),"('wie', 'answer'), ('gross', 'ε'), ('ist', 'ε'), ('die', 'ε'), ('bevoelkerung', 'population_1'), ('von', 'ε'), ('texas', 'stateid(texas)')",1
99,wie viele menschen leben in der groessten stadt von new york state,answer(population_1(largest(city(loc_2(stateid(new york)))))),"('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('der', 'ε'), ('groessten', 'largest'), ('stadt', 'city'), ('von', 'loc_2'), ('new', 'stateid(new york)'), ('york', 'ε'), ('state', 'ε')",1
100,wie viele leute wohnen in der hauptstadt georgias,answer(population_1(capital(loc_2(stateid(georgia))))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('wohnen', 'ε'), ('in', 'ε'), ('der', 'ε'), ('hauptstadt', 'capital'), ('ε', 'loc_2'), ('georgias', 'stateid(georgia)')",1
101,wie viele leute leben in der hauptstadt von texas,answer(population_1(capital(loc_2(stateid(texas))))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('der', 'ε'), ('hauptstadt', 'capital'), ('von', 'loc_2'), ('texas', 'stateid(texas)')",1
102,wie viele leute leben in dem kleinsten staat welcher an wyoming grenzt,answer(population_1(smallest(state(next_to_2(stateid(wyoming)))))),"('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('dem', 'ε'), ('kleinsten', 'smallest'), ('staat', 'state'), ('welcher', 'ε'), ('an', 'next_to_2'), ('wyoming', 'stateid(wyoming)'), ('grenzt', 'ε')",1
103,wie lautet die bevoelkerung des staat mit der hoechsten bevoelkerungsdichte,answer(population_1(largest_one(density_1(state(all))))),"('wie', 'answer'), ('lautet', 'ε'), ('die', 'ε'), ('bevoelkerung', 'population_1'), ('des', 'ε'), ('staat', 'state(all)'), ('mit', 'ε'), ('der', 'ε'), ('hoechsten', 'largest_one'), ('bevoelkerungsdichte', 'density_1')",0
104,wie viele menschen leben in den usa,answer(population_1(countryid(usa))),"('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
105,welches ist die einwohnerzahl von washington,answer(population_1(stateid(washington))),"('welches', 'answer'), ('ist', 'ε'), ('die', 'ε'), ('einwohnerzahl', 'population_1'), ('von', 'ε'), ('washington', 'stateid(washington)')",1
106,wie viele einwohner hat washington dc,"answer(population_1(cityid(washington, dc)))","('wie', 'answer'), ('viele', 'ε'), ('einwohner', 'population_1'), ('hat', 'ε'), ('washington', 'cityid(washington, dc)'), ('dc', 'ε')",1
107,wie viele leute leben in austin,"answer(population_1(cityid(austin, _)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('austin', 'cityid(austin, _)')",1
108,wie viele menschen leben in utah,answer(population_1(stateid(utah))),"('wie', 'answer'), ('viele', 'ε'), ('menschen', 'population_1'), ('leben', 'ε'), ('in', 'ε'), ('utah', 'stateid(utah)')",1
