ID,NL,MR,ALIGNMENT,MONOTONIC
43,how long is the mississippi river in miles,answer(len(riverid(mississippi))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('river', 'ε'), ('in', 'ε'), ('miles', 'ε')",1
44,how long is the missouri river,answer(len(riverid(missouri))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('missouri', 'riverid(missouri)'), ('river', 'ε')",1
45,how long is the north platte river,answer(len(riverid(north platte))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('north', 'riverid(north platte)'), ('platte', 'ε'), ('river', 'ε')",1
46,how long is the ohio river,answer(len(riverid(ohio))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('ohio', 'riverid(ohio)'), ('river', 'ε')",1
47,how long is the rio grande river,answer(len(riverid(rio grande))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('rio', 'riverid(rio grande)'), ('grande', 'ε'), ('river', 'ε')",1
48,how long is the shortest river in the usa,answer(len(shortest(river(loc_2(countryid(usa)))))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('shortest', 'shortest'), ('river', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
49,how many big cities are in pennsylvania,answer(count(major(city(loc_2(stateid(pennsylvania)))))),"('how', 'answer'), ('many', 'count'), ('big', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('pennsylvania', 'stateid(pennsylvania)')",1
50,how many capitals does rhode island have,answer(count(capital(loc_2(stateid(rhode island))))),"('how', 'answer'), ('many', 'count'), ('capitals', 'capital'), ('does', 'ε'), ('rhode', 'stateid(rhode island)'), ('island', 'ε'), ('have', 'loc_2')",0
51,how many cities are in louisiana,answer(count(city(loc_2(stateid(louisiana))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('louisiana', 'stateid(louisiana)')",1
52,how many cities are in montana,answer(count(city(loc_2(stateid(montana))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
53,how many cities are there in the united states,answer(count(city(loc_2(countryid(usa))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('united', 'countryid(usa)'), ('states', 'ε')",1
54,how many cities are there in the us,answer(count(city(loc_2(countryid(usa))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
55,how many cities are there in us,answer(count(city(loc_2(countryid(usa))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('us', 'countryid(usa)')",1
56,how many cities are there in usa,answer(count(city(loc_2(countryid(usa))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
57,how many cities does texas have,answer(count(city(loc_2(stateid(texas))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('does', 'ε'), ('texas', 'stateid(texas)'), ('have', 'loc_2')",0
58,how many cities does the usa have,answer(count(city(loc_2(countryid(usa))))),"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('does', 'ε'), ('the', 'ε'), ('usa', 'countryid(usa)'), ('have', 'loc_2')",0
59,how many cities named austin are there in the usa,"answer(count(intersection(city(cityid(austin, _)), loc_2(countryid(usa)))))","('how', 'answer'), ('many', 'count'), ('ε', 'intersection'), ('cities', 'city'), ('named', 'ε'), ('austin', 'cityid(austin, _)'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
60,how many citizens does the biggest city have in the usa,answer(population_1(largest(city(all)))),"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('does', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city(all)'), ('have', 'ε'), ('in', 'ε'), ('the', 'ε'), ('usa', 'ε')",1
61,how many citizens in alabama,answer(population_1(stateid(alabama))),"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('in', 'ε'), ('alabama', 'stateid(alabama)')",1
62,how many citizens in boulder,"answer(population_1(cityid(boulder, _)))","('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
63,how many citizens live in california,answer(population_1(stateid(california))),"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('california', 'stateid(california)')",1
64,how many colorado rivers are there,answer(count(river(riverid(colorado)))),"('how', 'answer'), ('many', 'count'), ('colorado', 'riverid(colorado)'), ('rivers', 'river'), ('are', 'ε'), ('there', 'ε')",1
65,how many inhabitants does montgomery have,"answer(population_1(cityid(montgomery, _)))","('how', 'answer'), ('many', 'ε'), ('inhabitants', 'population_1'), ('does', 'ε'), ('montgomery', 'cityid(montgomery, _)'), ('have', 'ε')",1
66,how many major cities are in arizona,answer(count(major(city(loc_2(stateid(arizona)))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('arizona', 'stateid(arizona)')",1
67,how many major cities are in florida,answer(count(major(city(loc_2(stateid(florida)))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('florida', 'stateid(florida)')",1
68,how many major cities are in states bordering nebraska,answer(count(major(city(loc_2(state(next_to_2(stateid(nebraska)))))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('states', 'state'), ('bordering', 'next_to_2'), ('nebraska', 'stateid(nebraska)')",1
69,how many major cities are in states bordering utah,answer(count(major(city(loc_2(state(next_to_2(stateid(utah)))))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('states', 'state'), ('bordering', 'next_to_2'), ('utah', 'stateid(utah)')",1
70,how many major cities in texas,answer(count(major(city(loc_2(stateid(texas)))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
71,how many major cities are there,answer(count(major(city(all)))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city(all)'), ('are', 'ε'), ('there', 'ε')",1
72,how many major cities are there in oregon,answer(count(major(city(loc_2(stateid(oregon)))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('oregon', 'stateid(oregon)')",1
73,how many major rivers cross ohio,answer(count(major(river(traverse_2(stateid(ohio)))))),"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('rivers', 'river'), ('cross', 'traverse_2'), ('ohio', 'stateid(ohio)')",1
74,how many people are in the state of nevada,answer(population_1(stateid(nevada))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('are', 'ε'), ('in', 'ε'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('nevada', 'stateid(nevada)')",1
75,how many people are there in iowa,answer(population_1(stateid(iowa))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('are', 'ε'), ('there', 'ε'), ('in', 'ε'), ('iowa', 'stateid(iowa)')",1
76,how many people are there in new york,answer(population_1(stateid(new york))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('are', 'ε'), ('there', 'ε'), ('in', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",1
77,how many people in boulder,"answer(population_1(cityid(boulder, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
78,how many people live in austin,"answer(population_1(cityid(austin, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('austin', 'cityid(austin, _)')",1
79,how many people live in austin texas,"answer(population_1(cityid(austin, tx)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('austin', 'cityid(austin, tx'), ('texas', 'ε')",1
80,how many people live in california,answer(population_1(stateid(california))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('california', 'stateid(california)')",1
81,how many people live in chicago,"answer(population_1(cityid(chicago, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('chicago', 'cityid(chicago, _)')",1
82,how many people live in detroit,"answer(population_1(cityid(detroit, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('detroit', 'cityid(detroit, _)')",1
83,how many people live in hawaii,answer(population_1(stateid(hawaii))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('hawaii', 'stateid(hawaii)')",1
84,how many people live in houston,"answer(population_1(cityid(houston, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('houston', 'cityid(houston, _)')",1
85,how many people live in kalamazoo,"answer(population_1(cityid(kalamazoo, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('kalamazoo', 'cityid(kalamazoo, _)')",1
86,how many people live in kansas,answer(population_1(stateid(kansas))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('kansas', 'stateid(kansas)')",1
87,how many people live in minneapolis minnesota,"answer(population_1(cityid(minneapolis, mn)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('minneapolis', 'cityid(minneapolis, mn'), ('minnesota', 'ε')",1
88,how many people live in mississippi,answer(population_1(stateid(mississippi))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('mississippi', 'stateid(mississippi)')",1
89,how many people live in montana,answer(population_1(stateid(montana))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('montana', 'stateid(montana)')",1
90,how many people live in new hampshire,answer(population_1(stateid(new hampshire))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('new', 'stateid(new hampshire)'), ('hampshire', 'ε')",1
91,how many people live in new mexico,answer(population_1(stateid(new mexico))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
92,how many people live in new york,answer(population_1(stateid(new york))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('new', 'stateid(new york)'), ('york', 'ε')",1
93,how many people live in rhode island,answer(population_1(stateid(rhode island))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
94,how many people live in riverside,"answer(population_1(cityid(riverside, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('riverside', 'cityid(riverside, _)')",1
95,how many people live in san francisco,"answer(population_1(cityid(san francisco, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('san', 'cityid(san francisco, _)'), ('francisco', 'ε')",1
96,how many people live in south dakota,answer(population_1(stateid(south dakota))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('south', 'stateid(south dakota)'), ('dakota', 'ε')",1
97,how many people live in spokane washington,"answer(population_1(cityid(spokane, wa)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('spokane', 'cityid(spokane, wa)'), ('washington', 'ε')",1
98,how many people live in texas,answer(population_1(stateid(texas))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('texas', 'stateid(texas)')",1
99,how many people live in the biggest city in new york state,answer(population_1(largest(city(loc_2(stateid(new york)))))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('new', 'stateid(new york)'), ('york', 'ε'), ('state', 'ε')",1
100,how many people live in the capital of georgia,answer(population_1(capital(loc_2(stateid(georgia))))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('georgia', 'stateid(georgia)')",1
101,how many people live in the capital of texas,answer(population_1(capital(loc_2(stateid(texas))))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('texas', 'stateid(texas)')",1
102,how many people live in the smallest state bordering wyoming,answer(population_1(smallest(state(next_to_2(stateid(wyoming)))))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('smallest', 'smallest'), ('state', 'state'), ('bordering', 'next_to_2'), ('wyoming', 'stateid(wyoming)')",1
103,how many people live in the state with the largest population density,answer(population_1(largest_one(density_1(state(all))))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('state', 'state(all)'), ('with', 'ε'), ('the', 'ε'), ('largest', 'largest_one'), ('population', 'ε'), ('density', 'density_1')",0
104,how many people live in the usa,answer(population_1(countryid(usa))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
105,how many people live in washington,answer(population_1(stateid(washington))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('washington', 'stateid(washington)')",1
106,how many people live in washington dc,"answer(population_1(cityid(washington, dc)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('washington', 'cityid(washington, dc'), ('dc', 'ε')",1
107,how many people live in austin,"answer(population_1(cityid(austin, _)))","('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('austin', 'cityid(austin)')",1
108,how many people reside in utah,answer(population_1(stateid(utah))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('reside', 'ε'), ('in', 'ε'), ('utah', 'stateid(utah)')",1
109,how many people stay in utah,answer(population_1(stateid(utah))),"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('stay', 'ε'), ('in', 'ε'), ('utah', 'stateid(utah)')",1
110,how many residents live in texas,answer(population_1(stateid(texas))),"('how', 'answer'), ('many', 'ε'), ('residents', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('texas', 'stateid(texas)')",1
111,how many rivers are called colorado,answer(count(riverid(colorado))),"('how', 'answer'), ('many', 'count'), ('rivers', 'ε'), ('are', 'ε'), ('called', 'ε'), ('colorado', 'riverid(colorado)')",1
112,how many rivers are found in colorado,answer(count(river(loc_2(stateid(colorado))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('found', 'ε'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
113,how many rivers are in colorado,answer(count(river(loc_2(stateid(colorado))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
114,how many rivers are in iowa,answer(count(river(loc_2(stateid(iowa))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('iowa', 'stateid(iowa)')",1
115,how many rivers are in missouri,answer(count(river(loc_2(stateid(missouri))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('missouri', 'stateid(missouri)')",1
116,how many rivers are in new york,answer(count(river(loc_2(stateid(new york))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('new', 'stateid(new york)'), ('york', 'ε')",1
117,how many rivers are in the state that has most rivers,answer(count(river(loc_2(most(state(loc_1(river(all)))))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'state'), ('that', 'ε'), ('has', 'loc_1'), ('most', 'most'), ('rivers', 'river(all)')",0
118,how many rivers are in the state with the highest point,answer(count(river(loc_2(state(loc_1(highest(place(all)))))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'state'), ('with', 'loc_1'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place(all)')",1
119,how many rivers are in the state with the largest population,answer(count(river(loc_2(largest_one(population_1(state(all))))))),"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'state(all)'), ('with', 'ε'), ('the', 'ε'), ('largest', 'largest_one'), ('population', 'population_1')",0
