,ID,NL,MR,MONOTONIC,ALIGNMENT
13,13,dammi lo stato più grande,answer(largest(state(all))),0,"('dammi', 'answer'), ('lo', 'ε'), ('stato', 'state(all)'), ('più', 'ε'), ('grande', 'largest')"
14,14,dammi il fiume più lungo che passa attraverso gli usa,answer(longest(river(traverse_2(countryid(usa))))),0,"('dammi', 'answer'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('lungo', 'longest'), ('che', 'ε'), ('passa', 'ε'), ('attraverso', 'traverse_2'), ('gli', 'ε'), ('usa', 'countryid(usa)')"
15,15,dammi il numero di fiumi in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('dammi', 'answer'), ('il', 'ε'), ('numero', 'count'), ('di', 'ε'), ('fiumi', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
16,16,dammi gli stati che confinano con lo state_name,answer(state(next_to_2(stateid(state_name)))),1,"('dammi', 'answer'), ('gli', 'ε'), ('stati', 'state'), ('che', 'ε'), ('confinano', 'next_to_2'), ('con', 'ε'), ('lo', 'ε'), ('state_name', 'stateid(state_name)')"
17,17,quanto è grande l state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('l', 'ε'), ('state_name', 'stateid(state_name)')"
18,18,quanto è grande il state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('state_name', 'stateid(state_name)')"
19,19,quanto è grande il state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
20,20,quanto è grande il state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
21,21,quanto è grande il state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('state_name', 'stateid(state_name)')"
22,22,quanto è grande la città di city_name,"answer(size(city(cityid(city_name, _))))",1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('la', 'ε'), ('città', 'city'), ('di', 'ε'), ('city_name', 'cityid(city_name, _)'), ('state_name', 'ε')"
23,23,quanto sono alti i picchi più alti di tutti gli stati,answer(elevation_1(highest(place(loc_2(state(all)))))),0,"('quanto', 'answer'), ('sono', 'ε'), ('alti', 'elevation_1'), ('i', 'ε'), ('picchi', 'place'), ('più', 'ε'), ('alti', 'highest'), ('di', 'loc_2'), ('tutti', 'ε'), ('gli', 'ε'), ('stati', 'state(all)')"
24,24,quanto è alto il place_name,answer(elevation_1(placeid(place_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('city_name', 'placeid(place_name)'), ('state_name', 'ε')"
25,25,quanto è alto il place_name,answer(elevation_1(placeid(place_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('city_name', 'placeid(place_name)'), ('state_name', 'ε')"
26,26,quanto è alto il picco più alto in america,answer(elevation_1(highest(place(loc_2(countryid(usa)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('in', 'loc_2'), ('america', 'countryid(usa)')"
27,27,quanto è alto il picco più alto in state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
28,28,quanto è alto il picco più alto nello stato più grande,answer(elevation_1(highest(place(loc_2(largest(state(all))))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('nello', 'loc_2'), ('stato', 'state(all)'), ('più', 'ε'), ('grande', 'largest')"
29,29,quanto è alto il picco più alto dell state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('dell', 'loc_2'), ('state_name', 'stateid(state_name)')"
30,30,quanto è alto il picco più alto del state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('del', 'loc_2'), ('state_name', 'stateid(state_name)')"
31,31,quanto è alto il picco più alto della state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('della', 'loc_2'), ('state_name', 'stateid(state_name)')"
32,32,quanto è alto il picco più alto della state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('alto', 'elevation_1'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('della', 'loc_2'), ('state_name', 'stateid(state_name)')"
33,33,quanto è grande l state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('l', 'ε'), ('state_name', 'stateid(state_name)')"
34,34,quanto è grande il state_name,answer(size(stateid(state_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('il', 'ε'), ('state_name', 'stateid(state_name)')"
35,35,quanto è grande la città più grande in state_name,answer(size(largest(city(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('grande', 'size'), ('la', 'ε'), ('città', 'city'), ('più', 'ε'), ('grande', 'largest'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
36,36,quanto è lungo il river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('city_name', 'riverid(river_name)'), ('state_name', 'ε')"
37,37,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('river_name', 'riverid(river_name)')"
38,38,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('river_name', 'riverid(river_name)')"
39,39,quanto è lungo il fiume più lungo in state_name,answer(len(longest(river(loc_2(stateid(state_name)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('lungo', 'longest'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
40,40,quanto è lungo il fiume più lungo in usa,answer(len(longest(river(loc_2(countryid(usa)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('lungo', 'longest'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
41,41,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('river_name', 'riverid(river_name)')"
42,42,quanto è lungo il river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('river_name', 'riverid(river_name)')"
43,43,quanto è lungo il fiume river_name in miglia,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('river_name', 'riverid(river_name)'), ('in', 'ε'), ('miglia', 'ε')"
44,44,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('river_name', 'riverid(river_name)')"
45,45,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('city_name', 'riverid(river_name)'), ('state_name', 'ε')"
46,46,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('river_name', 'riverid(river_name)')"
47,47,quanto è lungo il fiume river_name,answer(len(riverid(river_name))),1,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'ε'), ('city_name', 'riverid(river_name)'), ('state_name', 'ε')"
48,48,quanto è lungo il fiume più corto in usa,answer(len(shortest(river(loc_2(countryid(usa)))))),0,"('quanto', 'answer'), ('è', 'ε'), ('lungo', 'len'), ('il', 'ε'), ('fiume', 'river'), ('più', 'ε'), ('corto', 'shortest'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
49,49,quante grandi città ci sono in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
50,50,quante capitali ha state_name,answer(count(capital(loc_2(stateid(state_name))))),1,"('quante', 'answer'), ('ε', 'count'), ('capitali', 'capital'), ('ha', 'loc_2'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
51,51,quante città ci sono in state_name,answer(count(city(loc_2(stateid(state_name))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
52,52,quante città ci sono in state_name,answer(count(city(loc_2(stateid(state_name))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
53,53,quante città ci sono in usa,answer(count(city(loc_2(countryid(usa))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
54,54,quante città ci sono negli usa,answer(count(city(loc_2(countryid(usa))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('negli', 'loc_2'), ('usa', 'countryid(usa)')"
55,55,quante città ci sono in usa,answer(count(city(loc_2(countryid(usa))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
56,56,quante città ci sono in usa,answer(count(city(loc_2(countryid(usa))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
57,57,quante città ha il state_name,answer(count(city(loc_2(stateid(state_name))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('ha', 'ε'), ('il', 'loc_2'), ('state_name', 'stateid(state_name)')"
58,58,quante città hanno gli usa,answer(count(city(loc_2(countryid(usa))))),1,"('quante', 'answer'), ('ε', 'count'), ('città', 'city'), ('hanno', 'ε'), ('gli', 'loc_2'), ('usa', 'countryid(usa)')"
59,59,quante città chiamate city_name ci sono negli usa,"answer(count(intersection(city(cityid(city_name, _)), loc_2(countryid(usa)))))",1,"('quante', 'answer'), ('ε', 'count'), ('ε', 'intersection'), ('città', 'city'), ('chiamate', 'ε'), ('city_name', 'cityid(city_name, _)'), ('ci', 'ε'), ('sono', 'ε'), ('negli', 'loc_2'), ('usa', 'countryid(usa)')"
60,60,quanti cittadini ha la città più grande in usa,answer(population_1(largest(city(all)))),0,"('quanti', 'answer'), ('cittadini', 'population_1'), ('ha', 'ε'), ('la', 'ε'), ('città', 'city(all)'), ('più', 'ε'), ('grande', 'largest'), ('in', 'ε'), ('usa', 'ε')"
61,61,quanti cittadini in state_name,answer(population_1(stateid(state_name))),1,"('quanti', 'answer'), ('cittadini', 'population_1'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
62,62,quanti cittadini in city_name,"answer(population_1(cityid(city_name, _)))",1,"('quanti', 'answer'), ('cittadini', 'population_1'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
63,63,quanti cittadini abitano in state_name,answer(population_1(stateid(state_name))),1,"('quanti', 'answer'), ('cittadini', 'population_1'), ('abitano', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
64,64,quanti fiumi chiamati river_name ci sono,answer(count(river(riverid(river_name)))),1,"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'river'), ('chiamati', 'ε'), ('river_name', 'riverid(river_name)'), ('ci', 'ε'), ('sono', 'ε')"
65,65,quanti abitanti ha city_name,"answer(population_1(cityid(city_name, _)))",1,"('quanti', 'answer'), ('abitanti', 'population_1'), ('ha', 'ε'), ('city_name', 'cityid(city_name, _)')"
66,66,quante grandi città ci sono in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
67,67,quante grandi città ci sono in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
68,68,quante grandi città ci sono in stati confinanti con il state_name,answer(count(major(city(loc_2(state(next_to_2(stateid(state_name)))))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('stati', 'state'), ('confinanti', 'next_to_2'), ('con', 'ε'), ('il', 'ε'), ('state_name', 'stateid(state_name)')"
69,69,quante grandi città ci sono in stati confinanti con lo state_name,answer(count(major(city(loc_2(state(next_to_2(stateid(state_name)))))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('stati', 'state'), ('confinanti', 'next_to_2'), ('con', 'ε'), ('lo', 'ε'), ('state_name', 'stateid(state_name)')"
70,70,quante grandi città in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
71,71,quante grandi città ci sono,answer(count(major(city(all)))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city(all)'), ('ci', 'ε'), ('sono', 'ε')"
72,72,quante grandi città ci sono in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('quante', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('città', 'city'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
73,73,quanti grandi fiumi attraversano l state_name,answer(count(major(river(traverse_2(stateid(state_name)))))),1,"('quanti', 'answer'), ('ε', 'count'), ('grandi', 'major'), ('fiumi', 'river'), ('attravertraverse_2o', 'traverse_2'), ('state_name', 'stateid(state_name)')"
74,74,quante persone ci sono nello stato del state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('ci', 'ε'), ('sono', 'ε'), ('nello', 'ε'), ('stato', 'ε'), ('del', 'ε'), ('state_name', 'stateid(state_name)')"
75,75,quante persone ci sono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
76,76,quante persone ci sono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('ci', 'ε'), ('sono', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
77,77,quante persone in city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
78,78,quante persone in city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
79,79,quante persone vivono a city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, state_name)'), ('state_name', 'ε')"
80,80,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
81,81,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)')"
82,82,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)')"
83,83,quante persone vivono nelle state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nelle', 'ε'), ('state_name', 'stateid(state_name)')"
84,84,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)')"
85,85,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)')"
86,86,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
87,87,quante persone vivono a city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, state_name)'), ('state_name', 'ε')"
88,88,quanti vivono in state_name,answer(population_1(stateid(state_name))),1,"('quanti', 'answer'), ('vivono', 'population_1'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
89,89,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
90,90,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
91,91,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
92,92,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
93,93,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
94,94,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)')"
95,95,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)'), ('state_name', 'ε')"
96,96,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
97,97,quante persone vivono a city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, state_name)'), ('state_name', 'ε')"
98,98,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
99,99,quante persone vivono nella città più grande nello stato di state_name,answer(population_1(largest(city(loc_2(stateid(state_name)))))),0,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nella', 'ε'), ('città', 'city'), ('più', 'ε'), ('grande', 'largest'), ('nello', 'loc_2'), ('stato', 'ε'), ('di', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
100,100,quante persone vivono nella capitale della state_name,answer(population_1(capital(loc_2(stateid(state_name))))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nella', 'ε'), ('capitale', 'capital'), ('della', 'loc_2'), ('state_name', 'stateid(state_name)')"
101,101,quante persone vivono nella capitale del state_name,answer(population_1(capital(loc_2(stateid(state_name))))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nella', 'ε'), ('capitale', 'capital'), ('del', 'loc_2'), ('state_name', 'stateid(state_name)')"
102,102,quante persone vivono nello stato più piccolo che confina con il state_name,answer(population_1(smallest(state(next_to_2(stateid(state_name)))))),0,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nello', 'ε'), ('stato', 'state'), ('più', 'ε'), ('piccolo', 'smallest'), ('che', 'ε'), ('confina', 'next_to_2'), ('con', 'ε'), ('il', 'ε'), ('state_name', 'stateid(state_name)')"
103,103,quante persone vivono nello stato con la più alta densità di popolazione,answer(population_1(largest_one(density_1(state(all))))),0,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('nello', 'ε'), ('stato', 'state(all)'), ('con', 'ε'), ('la', 'ε'), ('più', 'ε'), ('alta', 'largest_one'), ('densità', 'density_1'), ('di', 'ε'), ('popolazione', 'ε')"
104,104,quante persone vivono negli usa,answer(population_1(countryid(usa))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('negli', 'ε'), ('usa', 'countryid(usa)')"
105,105,quante persone vivono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
106,106,quante persone vivono a city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, state_name)'), ('state_name', 'ε')"
107,107,quante persone vivono a city_name,"answer(population_1(cityid(city_name, _)))",1,"('quante', 'answer'), ('persone', 'population_1'), ('vivono', 'ε'), ('a', 'ε'), ('city_name', 'cityid(city_name, _)')"
108,108,quante persone risiedono in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('risiedono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
109,109,quante persone stanno in state_name,answer(population_1(stateid(state_name))),1,"('quante', 'answer'), ('persone', 'population_1'), ('stanno', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
110,110,quanti residenti vivono in state_name,answer(population_1(stateid(state_name))),1,"('quanti', 'answer'), ('residenti', 'population_1'), ('vivono', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
111,111,quanti fiumi sono chiamati river_name,answer(count(riverid(river_name))),1,"('quanti', 'answer'), ('ε', 'count'), ('fiumi', 'ε'), ('sono', 'ε'), ('chiamati', 'ε'), ('river_name', 'riverid(river_name)')"
