,ID,NL,MR,MONOTONIC,ALIGNMENT
11,11,give me the cities which are in state_name,answer(city(loc_2(stateid(state_name)))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('which', 'ε'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
12,12,give me the lakes in state_name,answer(lake(loc_2(stateid(state_name)))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('lakes', 'lake'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
13,13,give me the largest state,answer(largest(state(all))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state(all)')"
14,14,give me the longest river that passes through the us,answer(longest(river(traverse_2(countryid(usa))))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river'), ('that', 'ε'), ('passes', 'traverse_2'), ('through', 'ε'), ('the', 'ε'), ('us', 'countryid(usa)')"
15,15,give me the number of rivers in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('number', 'count'), ('of', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
16,16,give me the states that border state_name,answer(state(next_to_2(stateid(state_name)))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('states', 'state'), ('that', 'ε'), ('border', 'next_to_2'), ('state_name', 'stateid(state_name)')"
17,17,how big is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('state_name', 'stateid(state_name)')"
18,18,how big is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('state_name', 'stateid(state_name)')"
19,19,how big is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
20,20,how big is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
21,21,how big is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('state_name', 'stateid(state_name)')"
22,22,how big is the city of city_name,"answer(size(city(cityid(city_name, _))))",1,"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('the', 'ε'), ('city', 'city'), ('of', 'ε'), ('city_name', 'cityid(city_name, _)'), ('state_name', 'ε')"
23,23,how high are the highest points of all the states,answer(elevation_1(highest(place(loc_2(state(all)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('are', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('points', 'place'), ('of', 'loc_2'), ('all', 'ε'), ('the', 'ε'), ('states', 'state(all)')"
24,24,how high is place_name,answer(elevation_1(placeid(place_name))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('city_name', 'placeid(place_name)'), ('state_name', 'ε')"
25,25,how high is place_name,answer(elevation_1(placeid(place_name))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('city_name', 'placeid(place_name)'), ('state_name', 'ε')"
26,26,how high is the highest point in america,answer(elevation_1(highest(place(loc_2(countryid(usa)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('america', 'countryid(usa)')"
27,27,how high is the highest point in state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
28,28,how high is the highest point in the largest state,answer(elevation_1(highest(place(loc_2(largest(state(all))))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state(all)')"
29,29,how high is the highest point of state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
30,30,how high is the highest point of state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
31,31,how high is the highest point of state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
32,32,how high is the highest point of state_name,answer(elevation_1(highest(place(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
33,33,how large is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('large', 'size'), ('is', 'ε'), ('state_name', 'stateid(state_name)')"
34,34,how large is state_name,answer(size(stateid(state_name))),1,"('how', 'answer'), ('large', 'size'), ('is', 'ε'), ('state_name', 'stateid(state_name)')"
35,35,how large is the largest city in state_name,answer(size(largest(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('large', 'size'), ('is', 'ε'), ('the', 'ε'), ('largest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
36,36,how long is river_name,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('city_name', 'riverid(river_name)'), ('state_name', 'ε')"
37,37,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)'), ('river', 'ε')"
38,38,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)'), ('river', 'ε')"
39,39,how long is the longest river in state_name,answer(len(longest(river(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
40,40,how long is the longest river in the usa,answer(len(longest(river(loc_2(countryid(usa)))))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')"
41,41,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)'), ('river', 'ε')"
42,42,how long is the river_name,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)')"
43,43,how long is the river_name river in miles,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)'), ('river', 'ε'), ('in', 'ε'), ('miles', 'ε')"
44,44,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)'), ('river', 'ε')"
45,45,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('city_name', 'riverid(river_name)'), ('state_name', 'ε'), ('river', 'ε')"
46,46,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('river_name', 'riverid(river_name)'), ('river', 'ε')"
47,47,how long is the river_name river,answer(len(riverid(river_name))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('city_name', 'riverid(river_name)'), ('state_name', 'ε'), ('river', 'ε')"
48,48,how long is the shortest river in the usa,answer(len(shortest(river(loc_2(countryid(usa)))))),1,"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('shortest', 'shortest'), ('river', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')"
49,49,how many big cities are in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'count'), ('big', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
50,50,how many capitals does state_name have,answer(count(capital(loc_2(stateid(state_name))))),0,"('how', 'answer'), ('many', 'count'), ('capitals', 'capital'), ('does', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε'), ('have', 'loc_2')"
51,51,how many cities are in state_name,answer(count(city(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
52,52,how many cities are in state_name,answer(count(city(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
53,53,how many cities are there in the united states,answer(count(city(loc_2(countryid(usa))))),1,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('united', 'countryid(usa)'), ('states', 'ε')"
54,54,how many cities are there in the us,answer(count(city(loc_2(countryid(usa))))),1,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')"
55,55,how many cities are there in us,answer(count(city(loc_2(countryid(usa))))),1,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('us', 'countryid(usa)')"
56,56,how many cities are there in usa,answer(count(city(loc_2(countryid(usa))))),1,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
57,57,how many cities does state_name have,answer(count(city(loc_2(stateid(state_name))))),0,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('does', 'ε'), ('state_name', 'stateid(state_name)'), ('have', 'loc_2')"
58,58,how many cities does the usa have,answer(count(city(loc_2(countryid(usa))))),0,"('how', 'answer'), ('many', 'count'), ('cities', 'city'), ('does', 'ε'), ('the', 'ε'), ('usa', 'countryid(usa)'), ('have', 'loc_2')"
59,59,how many cities named city_name are there in the usa,"answer(count(intersection(city(cityid(city_name, _)), loc_2(countryid(usa)))))",1,"('how', 'answer'), ('many', 'count'), ('ε', 'intersection'), ('cities', 'city'), ('named', 'ε'), ('city_name', 'cityid(city_name, _)'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')"
60,60,how many citizens does the biggest city have in the usa,answer(population_1(largest(city(all)))),1,"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('does', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city(all)'), ('have', 'ε'), ('in', 'ε'), ('the', 'ε'), ('usa', 'ε')"
61,61,how many citizens in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
62,62,how many citizens in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
63,63,how many citizens live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('citizens', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
64,64,how many river_name rivers are there,answer(count(river(riverid(river_name)))),1,"('how', 'answer'), ('many', 'count'), ('river_name', 'riverid(river_name)'), ('rivers', 'river'), ('are', 'ε'), ('there', 'ε')"
65,65,how many inhabitants does city_name have,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('inhabitants', 'population_1'), ('does', 'ε'), ('city_name', 'cityid(city_name, _)'), ('have', 'ε')"
66,66,how many major cities are in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
67,67,how many major cities are in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
68,68,how many major cities are in states bordering state_name,answer(count(major(city(loc_2(state(next_to_2(stateid(state_name)))))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('states', 'state'), ('bordering', 'next_to_2'), ('state_name', 'stateid(state_name)')"
69,69,how many major cities are in states bordering state_name,answer(count(major(city(loc_2(state(next_to_2(stateid(state_name)))))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('in', 'loc_2'), ('states', 'state'), ('bordering', 'next_to_2'), ('state_name', 'stateid(state_name)')"
70,70,how many major cities in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
71,71,how many major cities are there,answer(count(major(city(all)))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city(all)'), ('are', 'ε'), ('there', 'ε')"
72,72,how many major cities are there in state_name,answer(count(major(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('cities', 'city'), ('are', 'ε'), ('there', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
73,73,how many major rivers cross state_name,answer(count(major(river(traverse_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'count'), ('major', 'major'), ('rivers', 'river'), ('cross', 'traverse_2'), ('state_name', 'stateid(state_name)')"
74,74,how many people are in the state of state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('are', 'ε'), ('in', 'ε'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('state_name', 'stateid(state_name)')"
75,75,how many people are there in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('are', 'ε'), ('there', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
76,76,how many people are there in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('are', 'ε'), ('there', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
77,77,how many people in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
78,78,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
79,79,how many people live in city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, state_name'), ('state_name', 'ε')"
80,80,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
81,81,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
82,82,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
83,83,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
84,84,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
85,85,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
86,86,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
87,87,how many people live in city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, state_name'), ('state_name', 'ε')"
88,88,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
89,89,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
90,90,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
91,91,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
92,92,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
93,93,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
94,94,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)')"
95,95,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, _)'), ('state_name', 'ε')"
96,96,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
97,97,how many people live in city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, state_name)'), ('state_name', 'ε')"
98,98,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
99,99,how many people live in the biggest city in state_name state,answer(population_1(largest(city(loc_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε'), ('state', 'ε')"
100,100,how many people live in the capital of state_name,answer(population_1(capital(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
101,101,how many people live in the capital of state_name,answer(population_1(capital(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
102,102,how many people live in the smallest state bordering state_name,answer(population_1(smallest(state(next_to_2(stateid(state_name)))))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('smallest', 'smallest'), ('state', 'state'), ('bordering', 'next_to_2'), ('state_name', 'stateid(state_name)')"
103,103,how many people live in the state with the largest population density,answer(population_1(largest_one(density_1(state(all))))),0,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('state', 'state(all)'), ('with', 'ε'), ('the', 'ε'), ('largest', 'largest_one'), ('population', 'ε'), ('density', 'density_1')"
104,104,how many people live in the usa,answer(population_1(countryid(usa))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('the', 'ε'), ('usa', 'countryid(usa)')"
105,105,how many people live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
106,106,how many people live in city_name state_name,"answer(population_1(cityid(city_name, state_name)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name, state_name'), ('state_name', 'ε')"
107,107,how many people live in city_name,"answer(population_1(cityid(city_name, _)))",1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('city_name', 'cityid(city_name)')"
108,108,how many people reside in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('reside', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
109,109,how many people stay in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('people', 'population_1'), ('stay', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
110,110,how many residents live in state_name,answer(population_1(stateid(state_name))),1,"('how', 'answer'), ('many', 'ε'), ('residents', 'population_1'), ('live', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
111,111,how many rivers are called river_name,answer(count(riverid(river_name))),1,"('how', 'answer'), ('many', 'count'), ('rivers', 'ε'), ('are', 'ε'), ('called', 'ε'), ('river_name', 'riverid(river_name)')"
112,112,how many rivers are found in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('found', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
113,113,how many rivers are in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
114,114,how many rivers are in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
115,115,how many rivers are in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
116,116,how many rivers are in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('how', 'answer'), ('many', 'count'), ('rivers', 'river'), ('are', 'ε'), ('in', 'loc_2'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
